Weekday,day,month,year,Location_Book,modern_name,geo_id,Loc_Codes,latitude,longitude,Notes
,2,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,FN15
,3,9,1396,Castell de Milaç,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,4,9,1396,Castell de Milaç,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,5,9,1396,Castell de Milaç,Castillo de Milazzo,10529345,,38.2301602,15.2424825,FN16
,6,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,7,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,8,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,9,9,1396,Castro Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,10,9,1396,Castell de Milaç del Regne de Sicilia,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,11,9,1396,Milazzo,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,12,9,1396,Milazzo,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,13,9,1396,,,,,,,
,14,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,15,9,1396,,,,,,,
,16,9,1396,Castro de Milacii,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,17,9,1396,,,,,,,
,18,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,FN17
,19,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,20,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,21,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,22,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,23,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,24,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,25,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,26,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,27,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,28,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,29,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,30,9,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,1,10,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,2,10,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,3,10,1396,Nostro regali palacio civitate Messine,Castello Matagrifone,TL_0014,,38.1961746,15.5517729,"Noted as the royal Palace in Messina, not clear that this is the Matagrifone, but it was a palace used by the kings of Aragon during the reign over Sicily."
,4,10,1396,Massena,Messina,2524170,,38.1938137,15.5540152,
,5,10,1396,,,,,,,
,6,10,1396,Taormina,Taormina,2522975,,37.8516366,15.2853127,
,7,10,1396,,,,,,,
,8,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,FN18
,9,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,10,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,11,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,12,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,13,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,14,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,15,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,16,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,17,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,18,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,19,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,20,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,21,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,22,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,23,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,24,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,25,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,26,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,27,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,28,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,29,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,30,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,31,10,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,1,11,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,2,11,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,3,11,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,4,11,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,5,11,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,6,11,1396,Cathania,Catania,2525068,,37.5078772,15.0830304,
,7,11,1396,Lentini,Lentini,2524410,,37.2838188,14.996114,
,7,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,8,11,1396,,,,,,,
,9,11,1396,,,,,,,
,10,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,11,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,12,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,13,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,13,11,1396,Cesarauguste Regni Sicilie,Augusta,2525646,,37.2500684,15.2216971,
,14,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,15,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,FN19
,16,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,17,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,18,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,19,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,20,11,1396,Siracuse,Syracuse,2523083,,37.0754739,15.2865861,
,21,11,1396,,,,,,,
,22,11,1396,,,,,,,
,23,11,1396,Portu de la Brutula Regni Siciliae,Portu de la Brutula,TL_0055,,37.3706041,15.1453947,
,24,11,1396,,,,,,,
,25,11,1396,,,,,,,
,26,11,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,27,11,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,28,11,1396,Messena,Messina,2524170,,38.1938137,15.5540152,
,29,11,1396,Messena,Messina,2524170,,38.1938137,15.5540152,
,30,11,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,1,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,2,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,3,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,4,12,1396,Messana,Messina,2524170,,38.1938137,15.5540152,
,5,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,6,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,7,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,8,12,1396,Messana,Messina,2524170,,38.1938137,15.5540152,
,9,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,FN20
,10,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,11,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,12,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,13,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,FN21
,14,12,1396,Messina,Messina,2524170,,38.1938137,15.5540152,
,15,12,1396,,,,,,,
,16,12,1396,,,,,,,
,17,12,1396,Castiello de Milaz,Castillo de Milazzo,10529345,,38.2301602,15.2424825,
,18,12,1396,,,,,,,
,19,12,1396,,,,,,,
,20,12,1396,,,,,,,
,21,12,1396,,,,,,,
,22,12,1396,,,,,,,
,23,12,1396,Trapana,Trapani,2522876,,38.0176177,12.537202,FN22
,24,12,1396,Trapani,Trapani,2522876,,38.0176177,12.537202,
,25,12,1396,,,,,,,
,26,12,1396,Trapani,Trapani,2522876,,38.0176177,12.537202,
,27,12,1396,Trapana,Trapani,2522876,,38.0176177,12.537202,FN23
,28,12,1396,Trapani,Trapani,2522876,,38.0176177,12.537202,
,29,12,1396,Trapani,Trapani,2522876,,38.0176177,12.537202,
,30,12,1396,Trapana,Trapani,2522876,,38.0176177,12.537202,
,31,12,1396,In terra Trapani,Trapani,2522876,,38.0176177,12.537202,FN24
,1,1,1397,Trapana,Trapani,2522876,,38.0176177,12.537202,
,2,1,1397,Trapana,Trapani,2522876,,38.0176177,12.537202,
,3,1,1397,Trapana,Trapani,2522876,,38.0176177,12.537202,
,4,1,1397,Trapani,Trapani,2522876,,38.0176177,12.537202,
,5,1,1397,Trapani,Trapani,2522876,,38.0176177,12.537202,
,6,1,1397,Trapani,Trapani,2522876,,38.0176177,12.537202,
,7,1,1397,Galea regali in porto Trapani,Ship in port of Trapani,CA_MI_10,,38.0118048,12.5105891,
,8,1,1397,Terra Trapani,Trapani,2522876,,38.0176177,12.537202,
,9,1,1397,Nostra regali Galea in portu Trapani,Ship in port of Trapani,CA_MI_10,,38.0118048,12.5105891,
,10,1,1397,In nostra regali galea in portu Trapani,Ship in port of Trapani,CA_MI_10,,38.0118048,12.5105891,
,11,1,1397,,,,,,,
,12,1,1397,Castro Callari,Cagliari,2525473,,39.2238411,9.1216613,"Possibly he is in the Palazzo Regio di Cagliari; hence the ""castro"" but I don't feel entirely certain about this."
,13,1,1397,Castell de Caller,Cagliari,2525473,,39.2238411,9.1216613,
,14,1,1397,Castro Calleri,Cagliari,2525473,,39.2238411,9.1216613,
,15,1,1397,Castro Calleri,Cagliari,2525473,,39.2238411,9.1216613,
,15,1,1397,Vila Lapale de appendicis Castri Calleri,Lapola,TL_0035,,39.2150245,9.1126478,"The port district of Cagliari, turns out - basically in the city, but more specific."
,16,1,1397,Castro Calleri,Cagliari,2525473,,39.2238411,9.1216613,FN1
,17,1,1397,,,,,,,
,18,1,1397,,,,,,,
,19,1,1397,,,,,,,
,20,1,1397,,,,,,,
,21,1,1397,,,,,,,
,22,1,1397,,,,,,,
,23,1,1397,,,,,,,
,24,1,1397,,,,,,,
,25,1,1397,,,,,,,
,26,1,1397,,,,,,,
,27,1,1397,,,,,,,
,28,1,1397,,,,,,,
,29,1,1397,,,,,,,
,30,1,1397,,,,,,,
,31,1,1397,,,,,,,
,1,2,1397,,,,,,,
,2,2,1397,,,,,,,
,3,2,1397,,,,,,,
,4,2,1397,,,,,,,
,5,2,1397,,,,,,,
,6,2,1397,,,,,,,
,7,2,1397,In galea nostra regali coram villa Boso,Ship near Bosa,CA_MI_12,,40.2554644,8.3910515,
,7,2,1397,Villa Algerii,Alghero,3183284,,40.5579517,8.3192949,
,8,2,1397,Villa Algerii,Alghero,3183284,,40.5579517,8.3192949,FN2
,9,2,1397,Villa Algerii,Alghero,3183284,,40.5579517,8.3192949,
,10,2,1397,Villa Algerii,Alghero,3183284,,40.5579517,8.3192949,
,11,2,1397,Villa Algerii,Alghero,3183284,,40.5579517,8.3192949,
,12,2,1397,Villa Algerii,Alghero,3183284,,40.5579517,8.3192949,
,13,2,1397,Villa Algerii,Alghero,3183284,,40.5579517,8.3192949,
,14,2,1397,In galea nostra regali apud insula de la Linayre,On ship near Asinara,CA_MI_03,,41.070502,8.1751392,FN3
,15,2,1397,Galea regali coram insula de la Linayre,On ship near Asinara,CA_MI_03,,41.070502,8.1751392,
,16,2,1397,,,,,,,
,17,2,1397,Villa Alguerii,Alghero,3183284,,40.5579517,8.3192949,
,18,2,1397,In nostra galea regali apud portum Dajaccio,,,,,,
,19,2,1397,,,,,,,
,20,2,1397,In portu de la Allaca Corsice insula,Port of Ajaccio,9845441,,41.922094,8.742671,"Both Allaca and Ayates are unknown local toponyms.  They are likely towns or references to beachs or locations near modern Ajaccio (itself little more than an outpost in the 14th century).  see: Philippe Colombani. Les corses et la couronne d’Aragon fin XIIIe- milieu XVe siècle. Projets politiques
et affrontement des légitimités. Archéologie et Préhistoire. Université Pascal Paoli, 2015. Français. 273-275. https://tel.archives-ouvertes.fr/tel-01408890/file/Colombani-Ph-VF.pdf"
,20,2,1397,Porto d'Ajaccio,Port of Ajaccio,9845441,,41.922094,8.742671,
,21,2,1397,Porto d'Ajaccio,Port of Ajaccio,9845441,,41.922094,8.742671,
,22,2,1397,Porto d'Ajaccio,Port of Ajaccio,9845441,,41.922094,8.742671,
,23,2,1397,Port de les ayates del regne de Còrcega,Port of Ajaccio,9845441,,41.922094,8.742671,"FN4 - Both Allaca and Ayates are unknown local toponyms.  They are likely towns or references to beachs or locations near modern Ajaccio (itself little more than an outpost in the 14th century).  see: Philippe Colombani. Les corses et la couronne d’Aragon fin XIIIe- milieu XVe siècle. Projets politiques
et affrontement des légitimités. Archéologie et Préhistoire. Université Pascal Paoli, 2015. Français. 273-275. https://tel.archives-ouvertes.fr/tel-01408890/file/Colombani-Ph-VF.pdf"
,24,2,1397,Portu Eyacii,Port of Ajaccio,9845441,,41.922094,8.742671,
,25,2,1397,Portu Eyacii,Port of Ajaccio,9845441,,41.922094,8.742671,
,25,2,1397,Portu Segeni,Port of Sagone,2982007,,42.1130127,8.6943516,
,26,2,1397,,,,,,,
,27,2,1397,In portu Sagoni insule nostre Corsice,Port of Sagone,2982007,,42.1130127,8.6943516,
,28,2,1397,,,,,,,
,1,3,1397,,,,,,,
,2,3,1397,,,,,,,
,3,3,1397,Port de Segon de la illa de Còrcega,Port of Sagone,2982007,,42.1130127,8.6943516,FN5
,4,3,1397,,,,,,,
,5,3,1397,,,,,,,
,6,3,1397,,,,,,,
,7,3,1397,Port de Cirellat,Port de Cirellat,TL_0053,,42.6121103,8.7835038,FN6
,8,3,1397,Port de Cirellat,Port de Cirellat,TL_0053,,42.6121103,8.7835038,FN7
,9,3,1397,,,,,,,
,10,3,1397,,,,,,,
,11,3,1397,,,,,,,
,12,3,1397,,,,,,,
,13,3,1397,,,,,,,
,14,3,1397,,,,,,,
,15,3,1397,Ciutat de Massella,Marseille,7284883,,43.296482,5.36978,FN8 - Letters from the trip on sea indicate this was a slow journey with bad weather and contrary winds
,16,3,1397,Portu Messalie,Port of Marseille,9253700,,43.2944646,5.3645147,FN9
,17,3,1397,Port de Massella,Port of Marseille,9253700,,43.2944646,5.3645147,
,18,3,1397,Port de Massella,Port of Marseille,9253700,,43.2944646,5.3645147,FN10
,19,3,1397,Port de Massella,Port of Marseille,9253700,,43.2944646,5.3645147,
,20,3,1397,Portu Messalie,Port of Marseille,9253700,,43.2944646,5.3645147,FN11
,21,3,1397,,,,,,,
,22,3,1397,Portu Marsilie,Port of Marseille,9253700,,43.2944646,5.3645147,
,23,3,1397,"
",,,,,,
,24,3,1397,,,,,,,
,25,3,1397,,,,,,,
,26,3,1397,,,,,,,
,27,3,1397,,,,,,,
,28,3,1397,,,,,,,
,29,3,1397,Arles-Trenquatalhos,Arles,3036938,,43.676647,4.6277769,FN12 Footnote implies that he disembarks in Arles at the port of Trenquatalhos but gives no indication of what port that is***
,30,3,1397,,,,,,,
,31,3,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,1,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN13
,2,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,3,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,4,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,5,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,6,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,7,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN14
,8,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,9,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,10,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,11,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN15
,12,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,13,4,1397,,,,,,,
,14,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,15,4,1397,,,,,,,
,16,4,1397,,,,,,,
,17,4,1397,,,,,,,
,18,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,19,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,20,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,21,4,1397,,,,,,,
,22,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN16
,23,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,24,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,25,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,26,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN17
,27,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,28,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,29,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN18
,30,4,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,1,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN19
,2,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,3,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN20
,4,5,1397,,,,,,,
,5,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,6,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,7,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,8,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,9,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,10,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,11,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,FN21
,12,5,1397,Avinyó,Avignon,3035681,,43.949317,4.805528,
,12,5,1397,Forques,Fourques,3017477,,43.692762,4.610861,FN22
,13,5,1397,Galea regali apud Aquas Mortuas,Ship near Aigues-Mortes,CA_MI_11,,43.4430079,4.1695883,
,14,5,1397,,,,,,,
,15,5,1397,,,,,,,
,16,5,1397,,,,,,,
,17,5,1397,,,,,,,
,18,5,1397,Porto de Cadaqués,Port of Cadaqués,6269219,,42.2873377,3.2781526,FN23
,19,5,1397,,,,,,,
,20,5,1397,,,,,,,
,21,5,1397,Blanes,Blanes,3127978,,41.6759954,2.7902289,FN23
,22,5,1397,Badalona,Badalona,3129028,,41.4469883,2.2450325,FN25
,23,5,1397,Perrochia Badalone,Badalona,3129028,,41.4469883,2.2450325,FN26
,24,5,1397,Bitulone,Badalona,3129028,,41.4469883,2.2450325,
,25,5,1397,Badalona,Badalona,3129028,,41.4469883,2.2450325,
,26,5,1397,Parrochia Badalone,Badalona,3129028,,41.4469883,2.2450325,FN27
,27,5,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,FN28
,28,5,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,29,5,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,30,5,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,31,5,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,1,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,2,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,3,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,FN29
,4,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,5,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,6,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,7,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,8,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,FN30
,9,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,10,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,11,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,12,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,FN31
,13,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,FN32
,14,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,FN33
,15,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,16,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,17,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,18,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,19,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,20,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,21,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,22,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,23,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,24,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,25,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,FN34
,26,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,27,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
,28,6,1397,Barchinona,Barcelona,3128760,,41.3850639,2.1734035,
